iter	Logloss
0	0.6868278672
1	0.6814266725
2	0.676349547
3	0.6707172684
4	0.665969586
5	0.6616837398
6	0.6575925527
7	0.6540394972
8	0.6505300819
9	0.6471103261
10	0.6442714093
11	0.6410511372
12	0.6384029494
13	0.6360346254
14	0.6335334503
15	0.6311950952
16	0.6292174739
17	0.6272008412
18	0.6254378695
19	0.6232897987
20	0.6212663292
21	0.6196048729
22	0.6179110288
23	0.6166789088
24	0.614797625
25	0.6132688099
26	0.6120385355
27	0.6106093165
28	0.609245924
29	0.607960406
30	0.6069296881
31	0.6060276702
32	0.6050053221
33	0.6040837578
34	0.6032369513
35	0.6023411824
36	0.6014235311
37	0.6006420739
38	0.5999840044
39	0.5990860975
40	0.5983015378
41	0.5973280247
42	0.5963773185
43	0.5957218136
44	0.5951682499
45	0.5946128454
46	0.5937758794
47	0.593169037
48	0.5925489134
49	0.5919332735
50	0.5912741962
51	0.5906596327
52	0.5902029486
53	0.5896427655
54	0.589266134
55	0.5886859934
56	0.5882517301
57	0.587672627
58	0.5870117979
59	0.5866956517
60	0.5861315236
61	0.5858418068
62	0.5854855931
63	0.5851564478
64	0.5845568659
65	0.5842821315
66	0.5838993618
67	0.5833031131
68	0.582909613
69	0.5824504317
70	0.5820761405
71	0.5817513594
72	0.581263721
73	0.5809923216
74	0.5807348691
75	0.58050665
76	0.5800910753
77	0.5797914121
78	0.5795410243
79	0.5792658842
80	0.5790249738
81	0.5787891476
82	0.5782663486
83	0.5778662993
84	0.5773997519
85	0.5770945509
86	0.5767975226
87	0.5765796123
88	0.5763685464
89	0.5759343429
90	0.575696541
91	0.575405369
92	0.5752067449
93	0.5750398362
94	0.5747379466
95	0.5745703323
96	0.5743746223
97	0.5741807213
98	0.5737737361
99	0.5733880162
100	0.5731644557
101	0.5728804991
102	0.5726481932
103	0.5724827209
104	0.5722232442
105	0.571933483
106	0.5716480987
107	0.5714280651
108	0.5711305977
109	0.5709068964
110	0.5707113069
111	0.5704393854
112	0.5702910284
113	0.570066233
114	0.5699688744
115	0.5698445622
116	0.5696557409
117	0.5692186768
118	0.5690648646
119	0.5688377547
120	0.5685661376
121	0.5683918697
122	0.5682292399
123	0.5680831272
124	0.5679439205
125	0.5678092774
126	0.5676219328
127	0.5673889416
128	0.5672353562
129	0.567138107
130	0.5669697535
131	0.5668504646
132	0.5666751158
133	0.5664906252
134	0.5662735372
135	0.5661070304
136	0.5658842641
137	0.5657583031
138	0.5656379736
139	0.5655176473
140	0.5653213159
141	0.5651224588
142	0.5650083823
143	0.5648026888
144	0.5645354425
145	0.5643783736
146	0.5642831371
147	0.5641750856
148	0.5639052711
149	0.5638129663
150	0.5636351563
151	0.5634308795
152	0.5633458979
153	0.5632515794
154	0.5630945997
155	0.5630124183
156	0.5628468104
157	0.562724059
158	0.5626434086
159	0.5625274927
160	0.5624112987
161	0.5622978532
162	0.5622075497
163	0.5620812702
164	0.5619746067
165	0.561791461
166	0.5617113729
167	0.5615475056
168	0.5613772929
169	0.5612139272
170	0.5610638198
171	0.5608597601
172	0.5606678031
173	0.5605811062
174	0.5604233245
175	0.5603150429
176	0.5601533496
177	0.5599746728
178	0.559853909
179	0.5597355963
180	0.5596457056
181	0.5594650707
182	0.5592956374
183	0.5591734323
184	0.5590756919
185	0.5589629947
186	0.5588405759
187	0.5586762119
188	0.5585810351
189	0.5584571824
190	0.5583143236
191	0.5581433139
192	0.5580130348
193	0.5578984274
194	0.5577782093
195	0.5576240043
196	0.5575400785
197	0.5574571107
