iter	Passed	Remaining
0	472	708658
1	804	602197
2	1135	566838
3	1460	546190
4	1780	532461
5	2092	520976
6	2423	516920
7	2718	507078
8	3037	503213
9	3358	500399
10	3675	497518
11	4001	496194
12	4338	496296
13	4629	491433
14	4934	488531
15	5265	488364
16	5596	488175
17	5915	487041
18	6256	487671
19	6601	488546
20	7077	498440
21	7548	507129
22	7875	505765
23	8210	504944
24	8523	502878
25	8811	499569
26	9101	496538
27	9402	494290
28	9738	493985
29	10066	493268
30	10420	493780
31	10697	490742
32	10973	487816
33	11291	486883
34	11596	485397
35	11940	485586
36	12232	483675
37	12534	482258
38	12818	480191
39	13131	479317
40	13440	478279
41	13762	477755
42	14055	476266
43	14352	474953
44	14610	472393
45	14915	471474
46	15215	470395
47	15482	468354
48	15806	468066
49	16106	467101
50	16419	466509
51	16717	465504
52	16993	463949
53	17265	462330
54	17543	460915
55	17773	458315
56	18073	457553
57	18353	456304
58	18648	455466
59	18917	454026
60	19237	453827
61	19478	451766
62	19760	450736
63	20039	449643
64	20337	448984
65	20611	447823
66	20890	446809
67	21148	445367
68	21445	444767
69	21729	443904
70	21988	442557
71	22248	441266
72	22542	440661
73	22806	439484
74	23090	438722
75	23379	438059
76	23653	437132
77	23944	436533
78	24216	435592
79	24502	434925
80	24737	433356
81	24990	432160
82	25263	431313
83	25542	430578
84	25822	429868
85	26102	429178
86	26356	428067
87	26626	427229
88	26881	426182
89	27171	425688
90	27448	424999
91	27706	424035
92	27984	423384
93	28239	422389
94	28529	421942
95	28791	421079
96	29036	419974
97	29286	418978
98	29543	418084
99	29801	417224
100	30062	416409
101	30338	415810
102	30611	415188
103	30848	414084
104	31098	413171
105	31358	412393
106	31634	411840
107	31885	410962
108	32187	410758
109	32430	409799
110	32659	408682
111	32923	408021
112	33207	407596
113	33498	407265
114	33740	406354
115	33993	405573
116	34250	404862
117	34546	404609
118	34828	404186
119	35087	403504
120	35372	403129
121	35646	402632
122	35907	401993
123	36149	401141
124	36384	400234
125	36668	399863
126	36943	399394
127	37243	399199
128	37504	398597
129	37734	397668
130	38006	397181
131	38286	396789
132	38547	396200
133	38825	395791
134	39124	395590
135	39356	394723
136	39658	394554
137	39926	394056
138	40188	393495
139	40457	393016
140	40720	392477
141	40966	391780
142	41219	391151
143	41483	390635
144	41748	390134
145	42006	389566
146	42252	388893
147	42525	388476
148	42835	388397
149	43106	387957
150	43352	387304
151	43626	386894
152	43885	386363
153	44138	385785
154	44400	385280
155	44664	384803
156	44936	384396
157	45191	383843
158	45398	382889
159	45620	382075
160	45909	381817
161	46170	381333
162	46393	380542
163	46616	379750
164	46883	379332
165	47158	378973
166	47416	378477
167	47658	377861
168	47956	377696
169	48232	377351
170	48531	377180
171	48836	377061
172	49132	376871
173	49383	376336
174	49691	376233
175	49980	375990
176	50249	375595
177	50552	375451
178	50803	374922
179	51077	374569
180	51294	373797
181	51569	373455
182	51842	373099
183	52099	372626
184	52345	372075
185	52552	371259
186	52822	370889
187	53077	370413
188	53334	369953
189	53597	369542
190	53875	369232
191	54129	368759
192	54378	368253
193	54614	367662
194	54872	367220
195	55128	366774
196	55417	366541
197	55648	365928
198	55924	365614
199	56213	365390
200	56465	364915
201	56701	364350
202	56941	363805
203	57186	363305
204	57463	363002
205	57720	362574
206	57991	362235
207	58246	361801
208	58500	361359
209	58800	361200
210	59070	360863
211	59379	360756
212	59696	360699
213	60029	360735
214	60312	360471
215	60590	360178
216	60849	359767
217	61117	359415
218	61468	359546
219	61785	359481
220	62063	359184
221	62399	359216
222	62753	359355
223	63070	359277
224	63392	359225
225	63738	359307
226	64099	359467
227	64401	359293
228	64683	359009
229	64994	358884
230	65307	358768
231	65629	358697
232	65949	358617
233	66271	358545
234	66545	358210
235	66816	357865
236	67044	357287
237	67324	356991
238	67607	356706
239	67874	356343
240	68122	355878
241	68359	355357
242	68634	355034
243	68893	354629
244	69190	354424
245	69466	354109
246	69763	353903
247	70016	353470
248	70256	352975
249	70525	352629
250	70773	352176
251	71024	351738
252	71256	351212
253	71511	350800
254	71815	350628
255	72128	350500
256	72407	350202
257	72690	349926
258	72973	349653
259	73215	349183
260	73513	348976
261	73799	348717
262	74102	348537
263	74331	348005
264	74597	347650
265	74897	347456
266	75162	347098
267	75449	346842
268	75708	346459
269	75982	346141
270	76272	345898
271	76540	345557
272	76821	345276
273	77107	345015
274	77340	344516
275	77597	344126
276	77871	343817
277	78165	343591
278	78398	343100
279	78669	342773
280	78938	342440
281	79172	341957
282	79460	341707
283	79753	341479
284	80012	341105
285	80290	340815
286	80561	340492
287	80849	340243
288	81105	339857
289	81328	339337
290	81560	338854
291	81794	338382
292	82031	337925
293	82298	337590
294	82537	337142
295	82800	336796
296	83080	336516
297	83366	336261
298	83631	335923
299	83898	335592
300	84171	335288
301	84430	334924
302	84740	334766
303	85028	334520
304	85275	334111
305	85540	333776
306	85788	333372
307	86059	333062
308	86304	332650
309	86553	332254
310	86822	331934
311	87109	331687
312	87365	331318
313	87607	330899
314	87866	330546
315	88125	330191
316	88362	329757
317	88639	329470
318	88930	329239
319	89201	328928
320	89458	328573
321	89716	328217
322	89994	327937
323	90272	327657
324	90574	327462
325	90914	327404
326	91300	327510
327	91632	327420
328	91925	327187
329	92196	326879
330	92461	326548
331	92713	326172
332	92977	325840
333	93218	325426
334	93533	325274
335	93776	324867
336	94096	324730
337	94386	324487
338	94658	324184
339	94944	323927
340	95287	323866
341	95610	323734
342	95907	323513
343	96247	323437
344	96546	323219
345	96798	322848
346	97044	322456
347	97327	322187
348	97581	321822
349	97873	321583
350	98121	321201
351	98406	320938
352	98688	320668
353	98934	320279
354	99199	319954
355	99453	319591
356	99713	319249
357	99988	318958
358	100246	318610
359	100486	318206
360	100768	317936
361	101031	317608
362	101309	317323
363	101556	316944
364	101816	316608
365	102102	316351
366	102364	316017
367	102617	315661
368	102893	315373
369	103150	315027
370	103408	314684
371	103686	314404
372	103920	313990
373	104204	313726
374	104460	313381
375	104746	313126
376	105009	312800
377	105289	312525
378	105575	312268
379	105842	311955
380	106102	311622
381	106394	311384
382	106698	311181
383	106933	310774
384	107183	310415
385	107463	310140
386	107722	309805
387	107960	309412
388	108224	309093
389	108510	308837
390	108791	308567
391	109060	308262
392	109338	307984
393	109605	307673
394	109855	307317
395	110132	307034
