iter	Logloss
0	0.6817490189
1	0.6713171766
2	0.662530714
3	0.6544297005
4	0.6474064007
5	0.6417842089
6	0.6365380276
7	0.6315777875
8	0.6273602114
9	0.6237522724
10	0.6202934018
11	0.6169724083
12	0.6141374932
13	0.6112090377
14	0.6092120795
15	0.6063272335
16	0.6038267541
17	0.6013047566
18	0.5998553763
19	0.5980821881
20	0.5967218461
21	0.5955317335
22	0.5945869468
23	0.5937548554
24	0.5926499069
25	0.5913316397
26	0.5900816498
27	0.5889946536
28	0.5876561736
29	0.5867315763
30	0.5857694004
31	0.5849847281
32	0.584163978
33	0.5834796867
34	0.5825959919
35	0.5817996615
36	0.5812313096
37	0.5806806312
38	0.5801375518
39	0.5795183115
40	0.5790175946
41	0.5781158536
42	0.5774985718
43	0.576840569
44	0.5761699191
45	0.5754432577
46	0.5750426205
47	0.574416312
48	0.5739286289
49	0.573623695
50	0.573397208
51	0.5728929531
52	0.5725382534
53	0.5721115544
54	0.5716630011
55	0.5714209614
56	0.5708525049
57	0.570422625
58	0.5700346656
59	0.5697323584
60	0.5693584963
61	0.5690078115
62	0.5683638243
63	0.5679251094
64	0.5676024913
65	0.5673863882
66	0.5670455433
67	0.5665608707
68	0.5661634242
69	0.5658783627
70	0.5656627919
71	0.565353569
72	0.5651012104
73	0.5646167807
74	0.5644026353
75	0.5640233571
76	0.5636544571
77	0.5634158516
78	0.5630454676
79	0.5627271636
80	0.5623824436
81	0.5621500773
82	0.561824987
83	0.5615661595
84	0.561223133
85	0.5609115475
86	0.5605451981
87	0.5603304657
88	0.5601238426
89	0.5598989874
90	0.5596359058
91	0.5593452831
92	0.559235139
93	0.5590229378
94	0.5588587795
95	0.5587036557
96	0.5583878273
97	0.5580072882
98	0.5577864942
99	0.5576111342
100	0.5574499717
101	0.5572312452
102	0.5570174682
103	0.5568941174
104	0.5567192592
105	0.5563928355
106	0.5562013597
107	0.5559418665
108	0.5556558524
109	0.5555207542
110	0.5553631779
111	0.5550767541
112	0.554879496
113	0.5546401518
114	0.5544128454
115	0.5541831673
116	0.5539654949
117	0.5537434613
118	0.553481244
119	0.5531227846
120	0.552973195
121	0.5528193953
122	0.5526925619
123	0.5524107933
124	0.5523091982
125	0.5521410146
126	0.5519630723
127	0.5518381207
128	0.5516461899
129	0.5515193113
130	0.5513813331
131	0.5511481115
132	0.5510498771
133	0.5507784743
134	0.5505955629
135	0.5504982254
136	0.5502971661
137	0.5501155631
138	0.5497967545
139	0.5496685949
140	0.5495343258
141	0.549361144
142	0.5492522113
143	0.5490915756
144	0.5489202151
145	0.5486273728
146	0.5484557839
147	0.5482973156
148	0.5481198923
149	0.5478700315
150	0.5475612589
151	0.5473324299
152	0.5471083548
153	0.5468284486
154	0.5465883403
155	0.5462561552
156	0.5459702007
157	0.545799764
158	0.5455148952
159	0.545384115
160	0.5451862377
161	0.5449831179
162	0.5447666948
163	0.5445962673
164	0.5444333531
165	0.5441341718
166	0.5438885289
167	0.5437629466
168	0.5435879699
169	0.5434395511
170	0.5432761563
171	0.5429627714
172	0.5428179247
173	0.5426295191
174	0.5423800261
175	0.5421785804
176	0.5418926983
177	0.5417432461
178	0.5414980965
179	0.5411509457
180	0.5409200946
181	0.5407351527
182	0.5405480735
183	0.5402834155
184	0.5401230956
185	0.5399113009
186	0.5398183436
187	0.5396359152
188	0.5394845008
189	0.5393077884
190	0.5390984085
191	0.5388345917
192	0.5386220733
193	0.5384146531
194	0.5382062601
195	0.5380043008
196	0.5377093668
197	0.5375173486
198	0.5372819768
199	0.53697533
200	0.5367320603
201	0.536433121
202	0.5362350158
203	0.5360867628
204	0.5358867451
205	0.5356930784
206	0.5354756116
207	0.5350400072
208	0.5348629977
209	0.5345434808
210	0.5342137769
211	0.5340203902
212	0.5338380665
213	0.5336512987
214	0.5335247888
215	0.5333019523
216	0.5331700718
217	0.5329697552
218	0.5328424445
219	0.5325919493
220	0.532407526
