iter	Passed	Remaining
0	641	480597
1	1175	439660
2	1709	425737
3	2250	419678
4	2868	427380
5	3347	415136
6	3878	411627
7	4284	397344
8	4706	387479
9	5261	389357
10	5663	380515
11	6086	374319
12	6477	367249
13	6937	364724
14	7411	363150
15	7977	365965
16	8375	361131
17	8898	361880
18	9353	359851
19	9791	357389
20	10278	356803
21	10723	354837
22	11142	352194
23	11488	347531
24	11857	343879
25	12227	340502
26	12729	340863
27	13153	339169
28	13595	338017
29	14014	336337
30	14307	331838
31	14779	331605
32	15199	330238
33	15626	329074
34	16057	328032
35	16456	326393
36	16933	326306
37	17309	324320
38	17711	322898
39	18202	323096
40	18638	322314
41	19112	322189
42	19477	320241
43	19889	319143
44	20372	319174
45	20775	317956
46	21216	317349
47	21668	316903
48	22185	317387
49	22641	316980
50	23012	315410
51	23355	313499
52	23676	311363
53	24099	310615
54	24409	308452
55	24761	306868
56	25164	305946
57	25561	304977
58	26008	304606
59	26455	304238
60	26850	303273
61	27152	301310
62	27558	300516
63	27862	298648
64	28263	297855
65	28636	296780
66	29143	297089
67	29506	295929
68	29867	294781
69	30224	293611
70	30587	292518
71	30963	291577
72	31341	290662
73	31708	289659
74	32101	288914
75	32463	287902
76	32889	287458
77	33370	287503
78	33824	287294
79	34250	286843
80	34547	285334
81	34890	284229
82	35296	283648
83	35726	283256
84	36154	282855
85	36613	282688
86	37021	282130
87	37430	281582
88	37899	281481
89	38292	280814
90	38692	280198
91	39056	279339
92	39411	278424
93	39787	277665
94	40219	277305
95	40547	276231
96	40945	275642
97	41331	274977
98	41714	274306
99	42147	273957
100	42538	273338
101	42994	273138
102	43357	272349
103	43667	271243
104	44048	270580
105	44490	270302
106	44834	269425
107	45208	268738
108	45650	268459
109	45981	267528
110	46439	267341
111	46908	267209
112	47444	267450
113	47925	267374
114	48322	266822
115	48723	266297
116	49110	265699
117	49473	264979
118	49934	264778
119	50326	264212
120	50678	263444
121	51025	262656
122	51410	262068
123	51707	261041
124	51998	259992
125	52292	258973
126	52662	258338
127	52989	257494
128	53331	256737
129	53630	255778
130	53939	254872
131	54245	253967
132	54618	253380
133	55014	252902
134	55302	251932
135	55609	251058
136	55961	250395
137	56316	249752
138	56671	249109
139	57041	248537
140	57460	248181
141	57783	247409
142	58156	246858
143	58676	246930
144	59020	246259
145	59402	245745
146	59782	245231
147	60079	244376
148	60502	244041
149	60976	243907
150	61429	243683
151	61882	243457
152	62248	242891
153	62633	242401
154	63099	242221
155	63429	241521
156	63852	241174
157	64328	241027
158	64700	240491
159	65049	239868
160	65411	239301
161	65782	238766
162	66212	238444
163	66720	238405
164	67097	237892
165	67473	237376
166	67879	236970
167	68187	236220
168	68541	235636
169	68963	235288
170	69393	234965
171	69843	234705
172	70257	234326
173	70610	233745
174	71083	233561
175	71504	233202
176	71925	232844
177	72398	232650
178	72917	232602
179	73541	232882
180	73938	232437
181	74301	231886
182	74661	231328
183	75102	231022
184	75487	230543
185	75980	230393
186	76254	229579
187	76579	228924
188	76930	228350
189	77233	227634
190	77458	226698
191	77665	225714
192	77864	224717
193	78071	223752
194	78283	222806
195	78516	221929
196	78736	221023
197	78941	220078
198	79148	219149
199	79398	218344
200	79623	217477
201	79834	216581
202	80074	215766
203	80339	215027
204	80573	214207
205	80789	213348
206	81054	212620
207	81371	212034
208	81702	211488
209	81940	210703
210	82219	210029
211	82517	209407
212	82741	208602
213	83001	207890
214	83309	207306
215	83626	206742
216	83975	206262
217	84307	205740
218	84560	205030
219	84766	204210
220	85016	203501
221	85258	202776
222	85527	202122
223	85790	201454
224	86216	201170
225	86596	200781
226	87053	200568
227	87328	199935
228	87578	199250
229	87917	198770
230	88259	198297
231	88598	197820
232	88869	197190
233	89195	196686
234	89542	196231
235	89835	195658
236	90115	195060
237	90344	194354
238	90556	193617
239	90865	193088
240	91177	192568
241	91438	191946
242	91640	191201
243	91971	190727
244	92267	190183
245	92508	189530
246	92795	188971
247	93074	188400
248	93500	188126
249	93896	187793
250	94273	187419
251	94588	186925
252	94940	186504
253	95204	185911
254	95435	185256
255	95717	184704
256	95930	184022
257	96153	183362
258	96360	182675
259	96704	182251
260	97119	181960
261	97473	181554
262	97816	181126
263	98085	180567
264	98322	179949
265	98614	179433
266	98962	179022
267	99278	178553
268	99557	178019
269	99849	177510
270	100126	176976
271	100374	176394
272	100621	175810
273	100861	175219
274	101121	174664
275	101382	174113
276	101598	173487
277	101800	172841
278	102012	172214
279	102231	171602
280	102443	170982
281	102648	170352
282	102897	169798
283	103123	169210
284	103402	168709
285	103692	168228
286	104054	167864
287	104417	167503
288	104708	167026
289	105000	166552
290	105235	165989
291	105534	165530
292	105797	165015
293	106030	164455
294	106278	163920
295	106539	163407
296	106797	162892
297	107080	162417
298	107309	161861
299	107549	161324
300	107799	160803
301	108051	160287
302	108271	159726
303	108495	159173
304	108740	158654
305	108929	158053
306	109136	157483
307	109352	156927
308	109593	156409
309	109784	155823
310	110048	155341
311	110302	154847
312	110496	154271
313	110699	153710
314	110952	153219
315	111207	152733
316	111416	152187
317	111627	151645
318	111841	151109
319	112127	150671
320	112374	150183
321	112615	149687
322	112881	149227
323	113067	148663
324	113293	148152
325	113502	147622
326	113717	147102
327	113913	146558
328	114136	146052
329	114363	145552
330	114605	145074
331	114834	144580
332	115071	144098
333	115263	143562
334	115484	143062
335	115671	142523
336	115856	141984
337	116058	141467
338	116273	140968
339	116507	140493
340	116702	139973
341	116909	139470
342	117125	138980
343	117326	138472
344	117542	137984
345	117755	137494
346	117957	136994
347	118132	136463
348	118390	136030
349	118613	135558
350	118866	135122
351	119111	134677
352	119335	134210
353	119542	133725
354	119800	133298
355	120020	132831
356	120267	132395
357	120525	131972
358	120734	131495
359	120996	131079
360	121216	130618
361	121437	130159
362	121656	129699
363	121872	129238
364	122055	128743
365	122263	128276
366	122491	127831
367	122711	127380
368	122932	126930
369	123141	126469
370	123349	126009
371	123597	125590
372	123803	125131
373	123999	124662
374	124221	124221
375	124460	123798
376	124727	123403
377	124933	122950
378	125156	122514
379	125402	122102
380	125646	121688
381	125852	121239
382	126040	120775
383	126235	120318
384	126484	119914
385	126726	119504
386	126897	119027
387	127068	118553
388	127259	118099
389	127460	117655
390	127674	117225
391	127863	116773
392	128058	116327
393	128333	115956
394	128542	115525
395	128769	115112
396	128985	114689
397	129295	114351
398	129503	113923
399	129762	113542
400	130001	113143
401	130298	112795
402	130514	112378
403	130719	111952
404	130923	111527
405	131116	111094
406	131333	110681
407	131514	110240
408	131705	109808
409	131911	109389
410	132101	108959
411	132279	108520
412	132491	108110
413	132774	107759
414	133007	107367
415	133204	106947
416	133396	106525
417	133582	106098
418	133777	105681
419	133979	105269
420	134164	104846
421	134355	104427
422	134531	103999
423	134746	103602
424	134946	103194
425	135122	102769
426	135319	102360
427	135501	101942
428	135719	101552
429	135935	101161
430	136163	100780
431	136395	100402
432	136577	99988
433	136771	99584
434	137014	99217
435	137273	98862
436	137449	98447
437	137627	98036
438	137810	97628
439	138012	97236
440	138179	96819
441	138350	96407
442	138532	96003
443	138729	95611
444	138913	95210
445	139139	94839
446	139430	94513
447	139643	94134
448	139872	93767
449	140091	93394
450	140300	93015
451	140582	92684
452	140937	92402
453	141296	92122
454	141581	91794
455	142096	91614
456	142501	91362
457	142736	91002
458	142956	90632
459	143195	90275
460	143440	89922
461	143705	89582
462	143982	89250
463	144158	88856
464	144377	88489
465	144569	88106
466	144784	87738
467	145037	87394
468	145241	87020
469	145436	86643
470	145678	86293
471	145907	85936
472	146124	85573
473	146359	85222
474	146554	84847
475	146772	84486
476	147145	84215
477	147475	83919
478	147728	83579
479	147979	83238
480	148259	82914
481	148536	82588
482	148963	82346
483	149252	82027
484	149489	81679
485	149722	81330
486	150028	81021
487	150256	80670
488	150475	80315
489	150709	79968
490	151027	79666
491	151273	79326
492	151489	78971
493	151707	78617
494	151914	78258
495	152090	77884
496	152355	77557
497	152579	77209
498	152823	76871
499	153212	76606
500	153436	76258
501	153701	75932
502	153956	75600
503	154211	75269
504	154447	74929
505	154695	74596
506	154916	74250
507	155136	73903
508	155332	73546
509	155528	73189
510	155767	72854
511	156013	72522
512	156213	72168
513	156412	71815
514	156598	71457
515	156784	71099
516	156979	70746
517	157164	70390
518	157351	70035
519	157539	69680
520	157783	69351
521	158076	69045
522	158329	68720
523	158570	68391
524	158791	68053
525	158992	67707
526	159257	67389
527	159513	67068
528	159762	66743
529	159996	66413
530	160210	66075
531	160441	65744
532	160634	65399
533	160831	65055
534	161032	64713
535	161246	64378
536	161508	64062
537	161752	63738
538	162008	63420
